# JCG official tidal-datum table (海上保安庁「平均水面、最高水面及び最低水面一覧表」).
# One row per gazetted port nationwide. Parsed from the public PDF by
# scripts/parse_jcg_datum_table.py (word-position extraction; no transcription).
#  z0_msl_m         = 平均水面下(Z0) = 平均水面 − 最低水面(基本水準面), MSL above chart datum.
#  cd_ellipsoidal_m = 最低水面の楕円体高 (GRS80 ellipsoid), where GNSS-published (else blank).
#  tp_minus_cd_m    = z0_msl_m − ζ_MSL(≈0.03 m Kanto): T.P. − 基本水準面 (approx.; for the
#                     exact value use cd_ellipsoidal_m with a GSI geoid, see docs/vertical_datum.md).
# Source: https://www1.kaiho.mlit.go.jp/TIDE/datum/index.pdf
station,name_ja,lon,lat,tp_minus_cd_m,z0_msl_m,cd_ellipsoidal_m,source
jcg0310,,131.65,33.7333,1.77,1.8,,jcg_heights_table
jcg0311,,132.4833,33.7333,1.77,1.8,,jcg_heights_table
jcg0312,,134.5333,33.7333,1.05,1.08,,jcg_heights_table
jcg0313,,136.0192,33.7381,1.06,1.09,38.15,jcg_heights_table
jcg0314,,129.6833,33.75,1.24,1.27,30.27,jcg_heights_table
jcg0315,,129.7833,33.7833,1.07,1.1,,jcg_heights_table
jcg0316,,132.7,33.7833,1.87,1.9,,jcg_heights_table
jcg0317,,131.0,33.7933,2.07,2.1,30.74,jcg_heights_table
jcg0318,,135.2217,33.8075,1.07,1.1,36.92,jcg_heights_table
jcg0319,芦辺,129.7667,33.8167,0.94,0.97,,jcg_heights_table
jcg0320,,132.1,33.8333,1.67,1.7,,jcg_heights_table
jcg0321,,132.1167,33.8333,1.67,1.7,,jcg_heights_table
jcg0322,勝本,129.7,33.85,1.1,1.13,,jcg_heights_table
jcg0323,,130.4833,33.85,0.92,0.95,,jcg_heights_table
jcg0324,,132.3667,33.85,1.77,1.8,,jcg_heights_table
jcg0325,,135.1667,33.8528,1.07,1.1,36.82,jcg_heights_table
jcg0326,,132.7122,33.8586,1.87,1.9,31.45,jcg_heights_table
jcg0327,御坊,135.1614,33.8625,1.07,1.1,36.8,jcg_heights_table
jcg0328,,130.0361,33.8633,0.92,0.95,30.78,jcg_heights_table
jcg0329,,130.9833,33.8667,2.07,2.1,,jcg_heights_table
jcg0330,,134.638,33.8713,1.07,1.1,35.9,jcg_heights_table
jcg0331,,130.5292,33.8761,0.92,0.95,31.7,jcg_heights_table
jcg0332,洞北,130.75,33.8833,0.77,0.8,,jcg_heights_table
jcg0333,洞岡,130.8,33.8833,0.77,0.8,,jcg_heights_table
jcg0334,,135.0833,33.8833,1.07,1.1,,jcg_heights_table
jcg0335,砂津,130.8914,33.8922,0.87,0.9,31.83,jcg_heights_table
jcg0336,,130.4333,33.9,0.92,0.95,,jcg_heights_table
jcg0337,,130.6667,33.9,0.84,0.87,,jcg_heights_table
jcg0338,洞海湾,130.8167,33.9,0.77,0.8,,jcg_heights_table
jcg0339,,132.2833,33.9,1.77,1.8,,jcg_heights_table
jcg0340,,139.5833,33.9,0.87,0.9,,jcg_heights_table
jcg0341,日明,130.8793,33.9093,0.77,0.8,31.91,jcg_heights_table
jcg0342,,130.9069,33.9133,0.87,0.9,31.81,jcg_heights_table
jcg0343,田の首,130.9163,33.9135,0.97,1.0,31.66,jcg_heights_table
jcg0344,,130.6667,33.9167,0.84,0.87,,jcg_heights_table
jcg0345,,130.85,33.9167,0.77,0.8,,jcg_heights_table
jcg0346,,132.05,33.9167,1.67,1.7,,jcg_heights_table
jcg0347,土居,132.3,33.9167,1.87,1.9,,jcg_heights_table
jcg0348,,132.6833,33.9167,1.87,1.9,,jcg_heights_table
jcg0349,,135.1,33.9167,1.03,1.06,,jcg_heights_table
jcg0350,弟子待,130.9275,33.925,1.17,1.2,31.49,jcg_heights_table
jcg0351,,134.6939,33.9283,0.99,1.02,35.88,jcg_heights_table
jcg0352,,130.6833,33.9333,0.79,0.82,,jcg_heights_table
jcg0353,,130.7333,33.9333,0.77,0.8,,jcg_heights_table
jcg0354,,131.25,33.9333,2.07,2.1,,jcg_heights_table
jcg0355,,133.0833,33.9333,1.97,2.0,,jcg_heights_table
jcg0356,,133.1667,33.9333,1.97,2.0,,jcg_heights_table
jcg0357,,136.1667,33.9333,0.99,1.02,38.31,jcg_heights_table
jcg0358,,136.1849,33.936,0.89,0.92,38.45,jcg_heights_table
jcg0359,,133.0919,33.9414,1.97,2.0,33.21,jcg_heights_table
jcg0360,,130.9575,33.9456,1.27,1.3,31.43,jcg_heights_table
jcg0361,南風泊,130.8769,33.9483,0.77,0.8,31.87,jcg_heights_table
jcg0362,,131.0181,33.9486,2.07,2.1,30.63,jcg_heights_table
jcg0363,,130.9167,33.95,0.77,0.8,,jcg_heights_table
jcg0364,,130.9333,33.95,1.27,1.3,,jcg_heights_table
jcg0365,壇之浦,130.95,33.95,1.37,1.4,,jcg_heights_table
jcg0366,,130.9667,33.95,1.97,2.0,,jcg_heights_table
jcg0367,,130.9833,33.95,1.97,2.0,,jcg_heights_table
jcg0368,,132.1833,33.95,1.77,1.8,,jcg_heights_table
jcg0369,,132.4667,33.95,1.87,1.9,,jcg_heights_table
jcg0370,,135.1086,33.9556,1.1,1.13,36.68,jcg_heights_table
jcg0371,光,131.9244,33.9561,1.77,1.8,30.47,jcg_heights_table
jcg0372,,132.1353,33.9572,1.77,1.8,30.39,jcg_heights_table
jcg0373,,131.1833,33.9667,2.07,2.1,,jcg_heights_table
jcg0374,,132.1333,33.9667,1.77,1.8,,jcg_heights_table
jcg0375,,132.5833,33.9667,1.87,1.9,,jcg_heights_table
jcg0376,,133.2667,33.9667,1.97,2.0,33.84,jcg_heights_table
jcg0377,,136.2,33.9667,1.08,1.11,38.44,jcg_heights_table
jcg0378,下松,131.8667,33.9833,1.77,1.8,,jcg_heights_table
jcg0379,,132.6333,33.9833,1.87,1.9,,jcg_heights_table
jcg0380,,133.3333,33.9833,1.97,2.0,,jcg_heights_table
jcg0381,三島,133.5444,33.9861,2.07,2.1,34.53,jcg_heights_table
jcg0382,,131.4333,34.0,1.97,2.0,,jcg_heights_table
jcg0383,,131.5167,34.0,1.87,1.9,,jcg_heights_table
jcg0384,,134.5875,34.0092,0.98,1.01,36.12,jcg_heights_table
jcg0385,,131.5628,34.0128,1.87,1.9,30.59,jcg_heights_table
jcg0386,,130.7333,34.0167,0.7,0.73,,jcg_heights_table
jcg0387,,131.0,34.0167,2.07,2.1,,jcg_heights_table
jcg0388,,131.5833,34.0333,1.77,1.8,,jcg_heights_table
jcg0389,,132.8333,34.0333,1.97,2.0,,jcg_heights_table
jcg0390,,132.85,34.0333,1.97,2.0,,jcg_heights_table
jcg0391,,135.1617,34.0389,1.07,1.1,37.06,jcg_heights_table
jcg0392,徳山,131.8028,34.0408,1.77,1.8,30.84,jcg_heights_table
jcg0393,,131.8,34.05,1.77,1.8,,jcg_heights_table
jcg0394,,130.9,34.0667,0.74,0.77,,jcg_heights_table
jcg0395,,132.55,34.0667,1.97,2.0,,jcg_heights_table
jcg0396,,132.7,34.0667,1.97,2.0,,jcg_heights_table
jcg0397,阿古,139.4833,34.0667,0.88,0.91,,jcg_heights_table
jcg0398,,133.0067,34.0683,1.97,2.0,32.68,jcg_heights_table
jcg0399,,136.2072,34.0775,1.01,1.04,39.01,jcg_heights_table
jcg0400,,130.8667,34.0833,0.68,0.71,,jcg_heights_table
jcg0401,,133.0,34.0833,1.97,2.0,,jcg_heights_table
jcg0402,有田,135.1,34.0833,1.07,1.1,,jcg_heights_table
jcg0403,,132.55,34.1,1.97,2.0,,jcg_heights_table
jcg0404,,133.1833,34.1,1.97,2.0,,jcg_heights_table
jcg0405,下津,135.1444,34.1142,1.07,1.1,36.99,jcg_heights_table
jcg0406,豆酘,129.1833,34.1167,1.14,1.17,,jcg_heights_table
jcg0407,,132.9167,34.1167,1.97,2.0,,jcg_heights_table
jcg0408,,132.9667,34.1167,1.97,2.0,,jcg_heights_table
jcg0409,,133.6333,34.1167,2.07,2.1,,jcg_heights_table
jcg0410,,135.15,34.1167,1.07,1.1,,jcg_heights_table
jcg0411,,132.9833,34.1333,1.97,2.0,,jcg_heights_table
jcg0412,,134.5833,34.1333,0.97,1.0,35.96,jcg_heights_table
jcg0413,海南,135.1914,34.1442,1.08,1.11,37.2,jcg_heights_table
jcg0414,,132.4833,34.15,1.97,2.0,,jcg_heights_table
jcg0415,,132.5333,34.15,1.97,2.0,,jcg_heights_table
jcg0416,吉海,133.0333,34.15,1.97,2.0,,jcg_heights_table
jcg0417,,134.6,34.15,0.97,1.0,,jcg_heights_table
jcg0418,,129.1667,34.1667,1.17,1.2,,jcg_heights_table
jcg0419,,132.4483,34.1683,1.97,2.0,30.86,jcg_heights_table
jcg0420,,132.2333,34.1833,1.97,2.0,,jcg_heights_table
jcg0421,,132.4333,34.1833,1.97,2.0,,jcg_heights_table
jcg0422,,132.8667,34.1833,1.97,2.0,,jcg_heights_table
jcg0423,,134.6131,34.1889,0.87,0.9,35.93,jcg_heights_table
jcg0424,厳原,129.2978,34.1942,0.9,0.93,29.82,jcg_heights_table
jcg0425,,132.2358,34.1961,1.97,2.0,30.67,jcg_heights_table
jcg0426,,136.3286,34.199,1.05,1.08,38.7,jcg_heights_table
jcg0427,灘,134.7969,34.1997,1.02,1.05,35.96,jcg_heights_table
jcg0428,,132.5333,34.2,1.97,2.0,,jcg_heights_table
jcg0429,,132.8833,34.2,1.97,2.0,,jcg_heights_table
jcg0430,伯方,133.1167,34.2,1.97,2.0,,jcg_heights_table
jcg0431,,129.2902,34.2054,0.9,0.93,,jcg_heights_table
jcg0432,,139.1311,34.2089,0.94,0.97,39.81,jcg_heights_table
jcg0433,広,132.5864,34.2117,1.97,2.0,31.4,jcg_heights_table
jcg0434,熊口,133.0667,34.2167,1.97,2.0,,jcg_heights_table
jcg0435,,133.6667,34.2167,1.97,2.0,,jcg_heights_table
jcg0436,,134.5833,34.2167,0.87,0.9,,jcg_heights_table
jcg0437,,135.15,34.2167,1.08,1.11,36.66,jcg_heights_table
jcg0438,,136.35,34.2167,1.05,1.08,,jcg_heights_table
jcg0439,,132.9179,34.2178,1.97,2.0,32.42,jcg_heights_table
jcg0440,,136.3956,34.2178,1.05,1.08,38.47,jcg_heights_table
jcg0441,,132.9167,34.2311,1.97,2.0,,jcg_heights_table
jcg0442,北浦,133.1089,34.2322,1.97,2.0,32.91,jcg_heights_table
jcg0443,,129.1833,34.2333,1.17,1.2,,jcg_heights_table
jcg0444,,130.1,34.2333,0.66,0.69,,jcg_heights_table
jcg0445,,132.7167,34.2333,1.97,2.0,,jcg_heights_table
jcg0446,,134.4,34.2333,0.97,1.0,,jcg_heights_table
jcg0447,北泊,134.5833,34.2333,0.87,0.9,,jcg_heights_table
jcg0448,,134.6333,34.2333,0.87,0.9,,jcg_heights_table
jcg0449,,134.65,34.2333,0.87,0.9,,jcg_heights_table
jcg0450,,132.55,34.2411,1.97,2.0,31.28,jcg_heights_table
jcg0451,,132.5533,34.2478,1.97,2.0,,jcg_heights_table
jcg0452,高浜,129.3167,34.25,0.85,0.88,,jcg_heights_table
jcg0453,,132.3833,34.25,1.97,2.0,,jcg_heights_table
jcg0454,,132.4667,34.25,1.97,2.0,,jcg_heights_table
jcg0455,,133.0,34.25,1.97,2.0,,jcg_heights_table
jcg0456,,133.2,34.25,1.97,2.0,,jcg_heights_table
jcg0457,,136.8048,34.2538,1.02,1.05,37.4,jcg_heights_table
jcg0458,,134.7167,34.2553,1.03,1.06,35.78,jcg_heights_table
jcg0459,,134.7172,34.2564,1.03,1.06,,jcg_heights_table
jcg0460,,132.2667,34.2667,1.97,2.0,,jcg_heights_table
jcg0461,鮴埼,132.9333,34.2667,1.97,2.0,,jcg_heights_table
jcg0462,,133.05,34.2667,1.97,2.0,,jcg_heights_table
jcg0463,土生,133.1833,34.2667,1.97,2.0,,jcg_heights_table
jcg0464,東側,133.6333,34.2667,1.97,2.0,,jcg_heights_table
jcg0465,,133.75,34.2667,1.97,2.0,,jcg_heights_table
jcg0466,,134.6667,34.2667,0.87,0.9,,jcg_heights_table
jcg0467,,136.5042,34.2747,1.07,1.1,38.12,jcg_heights_table
jcg0468,加太,135.0667,34.2756,1.02,1.05,36.23,jcg_heights_table
jcg0469,箕形,129.2667,34.2833,1.16,1.19,,jcg_heights_table
jcg0470,由良,134.95,34.2833,0.92,0.95,36.17,jcg_heights_table
jcg0471,,135.0167,34.2833,1.0,1.03,,jcg_heights_table
jcg0472,,134.9436,34.2914,0.92,0.95,,jcg_heights_table
jcg0473,,136.765,34.2917,1.02,1.05,37.65,jcg_heights_table
jcg0474,,133.7928,34.2958,1.87,1.9,34.6,jcg_heights_table
jcg0475,竹敷,129.3,34.3,1.15,1.18,,jcg_heights_table
jcg0476,中央,129.35,34.3,0.92,0.95,,jcg_heights_table
jcg0477,東口,129.3667,34.3,0.78,0.81,,jcg_heights_table
jcg0478,,132.3167,34.3,1.97,2.0,,jcg_heights_table
jcg0479,,133.0833,34.3,1.97,2.0,,jcg_heights_table
jcg0480,,133.8,34.3,1.87,1.9,,jcg_heights_table
jcg0481,,136.6876,34.3001,1.0,1.03,37.74,jcg_heights_table
jcg0482,,136.8211,34.3151,1.03,1.06,37.55,jcg_heights_table
jcg0483,,130.8964,34.3161,0.7,0.73,31.75,jcg_heights_table
jcg0484,尾崎浦,129.2167,34.3167,1.15,1.18,,jcg_heights_table
jcg0485,,133.8333,34.3167,1.87,1.9,,jcg_heights_table
jcg0486,,133.85,34.3167,1.67,1.7,,jcg_heights_table
jcg0487,,135.1333,34.3167,0.92,0.95,,jcg_heights_table
jcg0488,,139.2167,34.3167,0.94,0.97,,jcg_heights_table
jcg0489,,133.8517,34.3253,1.67,1.7,34.81,jcg_heights_table
jcg0490,大山浦,129.35,34.3333,1.17,1.2,,jcg_heights_table
jcg0491,鴨居瀬,129.3833,34.3333,0.81,0.84,,jcg_heights_table
jcg0492,,132.9667,34.3333,1.97,2.0,,jcg_heights_table
jcg0493,,133.0,34.3333,1.97,2.0,,jcg_heights_table
jcg0494,,133.05,34.3333,1.97,2.0,,jcg_heights_table
jcg0495,,133.6333,34.3333,1.97,2.0,,jcg_heights_table
jcg0496,,134.7333,34.3333,0.87,0.9,,jcg_heights_table
jcg0497,,135.1833,34.3333,0.92,0.95,36.68,jcg_heights_table
jcg0498,洲本,134.9023,34.3412,0.92,0.95,36.13,jcg_heights_table
jcg0499,,134.0565,34.3497,1.37,1.4,35.48,jcg_heights_table
jcg0500,,133.4333,34.35,2.07,2.1,,jcg_heights_table
jcg0501,,133.7167,34.35,1.87,1.9,,jcg_heights_table
jcg0502,,132.4675,34.3542,1.97,2.0,31.31,jcg_heights_table
jcg0503,青木,133.6861,34.3654,1.97,2.0,34.15,jcg_heights_table
jcg0504,,129.25,34.3667,1.07,1.1,,jcg_heights_table
jcg0505,,130.8667,34.3667,0.55,0.58,,jcg_heights_table
jcg0506,,132.4667,34.3667,1.97,2.0,,jcg_heights_table
jcg0507,,133.1,34.3667,1.97,2.0,,jcg_heights_table
jcg0508,,133.1833,34.3667,1.97,2.0,,jcg_heights_table
jcg0509,,133.3,34.3667,1.97,2.0,,jcg_heights_table
jcg0510,,133.7167,34.3667,1.87,1.9,,jcg_heights_table
jcg0511,,136.8667,34.3667,1.07,1.1,,jcg_heights_table
jcg0512,糸崎,133.087,34.3784,1.97,2.0,32.95,jcg_heights_table
jcg0513,,131.15,34.3833,0.46,0.49,,jcg_heights_table
jcg0514,,131.2,34.3833,0.49,0.52,,jcg_heights_table
jcg0515,,133.3833,34.3833,2.07,2.1,,jcg_heights_table
jcg0516,,133.8228,34.385,1.77,1.8,34.6,jcg_heights_table
jcg0517,,129.3833,34.4,0.65,0.68,,jcg_heights_table
jcg0518,,130.95,34.4,0.56,0.59,,jcg_heights_table
jcg0519,,133.5167,34.4,2.07,2.1,,jcg_heights_table
jcg0520,福田,133.75,34.4,1.87,1.9,,jcg_heights_table
jcg0521,笠島,133.7833,34.4,1.77,1.8,,jcg_heights_table
jcg0522,尾道,133.1922,34.4031,1.97,2.0,33.11,jcg_heights_table
jcg0523,,136.923,34.4127,1.01,1.04,37.61,jcg_heights_table
jcg0524,,134.78,34.4147,0.77,0.8,36.35,jcg_heights_table
jcg0525,綱湾,129.2667,34.4167,1.04,1.07,,jcg_heights_table
jcg0526,,131.0,34.4167,0.49,0.52,,jcg_heights_table
jcg0527,西側,134.05,34.4167,1.37,1.4,,jcg_heights_table
jcg0528,,135.3167,34.4167,0.92,0.95,,jcg_heights_table
jcg0529,津名,134.8992,34.4228,0.92,0.95,36.26,jcg_heights_table
jcg0530,松永,133.2542,34.4236,1.97,2.0,33.26,jcg_heights_table
jcg0531,,131.4167,34.4333,0.45,0.48,,jcg_heights_table
jcg0532,,133.8167,34.4333,1.77,1.8,,jcg_heights_table
jcg0533,東側,134.0667,34.4333,1.27,1.3,,jcg_heights_table
jcg0534,,134.2333,34.4333,1.17,1.2,,jcg_heights_table
jcg0535,坂手,134.3333,34.4333,0.97,1.0,,jcg_heights_table
jcg0536,狩尾,129.3,34.45,0.97,1.0,,jcg_heights_table
jcg0537,,129.3667,34.45,0.62,0.65,,jcg_heights_table
jcg0538,,131.4167,34.45,0.45,0.48,,jcg_heights_table
jcg0539,,133.5167,34.45,2.07,2.1,,jcg_heights_table
jcg0540,,133.9333,34.45,1.57,1.6,,jcg_heights_table
jcg0541,,133.9667,34.45,1.47,1.5,,jcg_heights_table
jcg0542,,134.0,34.45,1.37,1.4,,jcg_heights_table
jcg0543,貝塚,135.35,34.45,0.92,0.95,,jcg_heights_table
jcg0544,,133.8108,34.4581,1.67,1.7,34.65,jcg_heights_table
jcg0545,江井,134.8283,34.4662,0.77,0.8,36.44,jcg_heights_table
jcg0546,,133.8333,34.4667,1.67,1.7,,jcg_heights_table
jcg0547,甲生,134.0667,34.4667,1.27,1.3,,jcg_heights_table
jcg0548,,135.38,34.4731,0.92,0.95,37.13,jcg_heights_table
jcg0549,,133.4131,34.4792,2.07,2.1,33.44,jcg_heights_table
jcg0550,家浦,134.0667,34.4833,1.27,1.3,,jcg_heights_table
jcg0551,土庄,134.1833,34.4833,1.17,1.2,,jcg_heights_table
jcg0552,,134.2,34.4833,1.17,1.2,,jcg_heights_table
jcg0553,,136.8247,34.485,1.17,1.2,37.61,jcg_heights_table
jcg0554,,133.9497,34.4911,1.37,1.4,35.09,jcg_heights_table
jcg0555,,133.5,34.5,2.07,2.1,,jcg_heights_table
jcg0556,泉大津,135.3978,34.5089,0.92,0.95,37.06,jcg_heights_table
jcg0557,仮屋,134.99,34.5167,0.87,0.9,36.35,jcg_heights_table
jcg0558,,136.7444,34.5242,1.17,1.2,37.46,jcg_heights_table
jcg0559,玉島,133.6692,34.5247,1.97,2.0,34.06,jcg_heights_table
jcg0560,,133.7394,34.5253,1.87,1.9,34.26,jcg_heights_table
jcg0561,室津,134.8667,34.5333,0.77,0.8,,jcg_heights_table
jcg0562,,139.2833,34.5333,0.94,0.97,,jcg_heights_table
jcg0563,大部,134.2833,34.55,0.97,1.0,,jcg_heights_table
jcg0564,伊奈,129.3,34.5667,0.87,0.9,,jcg_heights_table
jcg0565,,133.75,34.5833,1.87,1.9,,jcg_heights_table
jcg0566,,137.0218,34.5837,1.17,1.2,37.65,jcg_heights_table
jcg0567,岩屋,135.0167,34.5912,0.67,0.7,36.34,jcg_heights_table
jcg0568,堺,135.4608,34.5922,0.92,0.95,,jcg_heights_table
jcg0569,,134.0333,34.6,1.17,1.2,,jcg_heights_table
jcg0570,,134.9833,34.6,0.67,0.7,,jcg_heights_table
jcg0571,,133.9836,34.6064,1.27,1.3,35.16,jcg_heights_table
jcg0572,,138.2211,34.6069,0.97,1.0,38.72,jcg_heights_table
jcg0573,,137.1854,34.6083,1.02,1.05,37.95,jcg_heights_table
jcg0574,松阪,136.5614,34.6086,1.27,1.3,37.53,jcg_heights_table
jcg0575,,134.1469,34.6119,1.17,1.2,35.48,jcg_heights_table
jcg0576,,131.6,34.6167,0.37,0.4,,jcg_heights_table
jcg0577,,129.4,34.6333,0.77,0.8,,jcg_heights_table
jcg0578,,131.6,34.6333,0.37,0.4,,jcg_heights_table
jcg0579,,131.65,34.6333,0.33,0.36,,jcg_heights_table
jcg0580,,135.05,34.6333,0.77,0.8,36.38,jcg_heights_table
jcg0581,,135.0667,34.6333,0.77,0.8,,jcg_heights_table
jcg0582,福江,137.1041,34.6399,1.27,1.3,37.7,jcg_heights_table
jcg0583,,134.9833,34.65,0.67,0.7,,jcg_heights_table
jcg0584,,135.0,34.65,0.67,0.7,36.42,jcg_heights_table
jcg0585,,135.1667,34.65,0.92,0.95,,jcg_heights_table
jcg0586,,135.4333,34.65,0.92,0.95,36.61,jcg_heights_table
jcg0587,,138.8833,34.65,0.97,1.0,,jcg_heights_table
jcg0588,,129.4782,34.6558,0.55,0.58,30.0,jcg_heights_table
jcg0589,泉湾,129.4833,34.6667,0.52,0.55,,jcg_heights_table
jcg0590,,137.9,34.6667,0.97,1.0,,jcg_heights_table
jcg0591,妻良,138.7833,34.6667,0.95,0.98,,jcg_heights_table
jcg0592,,129.4328,34.6742,0.75,0.78,29.56,jcg_heights_table
jcg0593,,138.9592,34.6756,0.98,1.01,39.56,jcg_heights_table
jcg0594,神戸,135.1903,34.6823,0.92,0.95,36.28,jcg_heights_table
jcg0595,,134.3,34.6833,0.97,1.0,,jcg_heights_table
jcg0596,,134.5333,34.6833,0.87,0.9,,jcg_heights_table
jcg0597,二見,134.8833,34.6833,0.77,0.8,36.15,jcg_heights_table
jcg0598,港口,137.6,34.6833,1.02,1.05,,jcg_heights_table
jcg0599,,137.6167,34.6833,0.67,0.7,,jcg_heights_table
jcg0600,,139.4333,34.6833,0.94,0.97,,jcg_heights_table
jcg0601,尼崎,135.4011,34.6969,0.92,0.95,36.54,jcg_heights_table
jcg0602,鰐浦,129.4333,34.7,0.67,0.7,,jcg_heights_table
jcg0603,新居,137.5833,34.7,0.57,0.6,,jcg_heights_table
jcg0604,師崎,136.9757,34.7017,1.27,1.3,37.34,jcg_heights_table
jcg0605,別府,134.85,34.7167,0.77,0.8,,jcg_heights_table
jcg0606,西宮,135.3333,34.7167,0.92,0.95,,jcg_heights_table
jcg0607,,134.2708,34.7289,0.97,1.0,35.74,jcg_heights_table
jcg0608,豊橋,137.3207,34.733,1.32,1.35,38.2,jcg_heights_table
jcg0609,,134.2167,34.7333,0.97,1.0,,jcg_heights_table
jcg0610,高砂,134.8,34.7333,0.87,0.9,36.08,jcg_heights_table
jcg0611,,134.3669,34.7458,0.97,1.0,35.78,jcg_heights_table
jcg0612,松崎,138.7667,34.75,0.99,1.02,,jcg_heights_table
jcg0613,,139.35,34.75,0.89,0.92,,jcg_heights_table
jcg0614,,131.95,34.7667,0.28,0.31,,jcg_heights_table
jcg0615,,134.8333,34.7667,0.87,0.9,,jcg_heights_table
jcg0616,,139.05,34.7667,0.96,0.99,,jcg_heights_table
jcg0617,,134.4689,34.7683,0.97,1.0,35.84,jcg_heights_table
jcg0618,,131.9136,34.775,0.28,0.31,33.25,jcg_heights_table
jcg0619,宇津,131.15,34.7833,0.29,0.32,,jcg_heights_table
jcg0620,広畑,134.6167,34.7833,0.87,0.9,,jcg_heights_table
jcg0621,飾磨,134.6667,34.7833,0.87,0.9,36.06,jcg_heights_table
jcg0622,,138.3,34.7833,0.92,0.95,39.14,jcg_heights_table
jcg0623,岡田,139.3833,34.7833,0.87,0.9,,jcg_heights_table
jcg0624,,137.1629,34.7847,1.32,1.35,37.99,jcg_heights_table
jcg0625,田子,138.7667,34.8,0.97,1.0,,jcg_heights_table
jcg0626,蒲郡,137.226,34.8186,1.32,1.35,38.22,jcg_heights_table
jcg0627,,138.7667,34.85,0.91,0.94,,jcg_heights_table
jcg0628,焼津,138.3237,34.8508,0.92,0.95,,jcg_heights_table
jcg0629,,139.1,34.8667,0.93,0.96,,jcg_heights_table
jcg0630,衣浦,136.9431,34.8803,1.27,1.3,37.07,jcg_heights_table
jcg0631,,132.0664,34.8975,0.26,0.29,33.42,jcg_heights_table
jcg0632,鬼崎,136.8239,34.9044,1.27,1.3,36.67,jcg_heights_table
jcg0633,用宗,138.3667,34.9167,0.92,0.95,,jcg_heights_table
jcg0634,,139.8333,34.9167,0.87,0.9,,jcg_heights_table
jcg0635,,139.9333,34.9167,0.86,0.89,,jcg_heights_table
jcg0636,,139.1333,34.95,0.92,0.95,,jcg_heights_table
jcg0637,,139.9667,34.95,0.87,0.9,,jcg_heights_table
jcg0638,,136.6381,34.9606,1.27,1.3,36.24,jcg_heights_table
jcg0639,,139.1,34.9667,0.95,0.98,39.09,jcg_heights_table
jcg0640,戸田,138.7833,34.9833,0.92,0.95,,jcg_heights_table
jcg0641,館山,139.8423,34.9891,0.97,1.0,35.19,jcg_heights_table
jcg0642,清水,138.5167,35.0167,0.92,0.95,39.28,jcg_heights_table
jcg0643,三津,138.9,35.0167,0.97,1.0,,jcg_heights_table
jcg0644,,139.85,35.0167,0.97,1.0,,jcg_heights_table
jcg0645,,132.2336,35.0186,0.21,0.24,33.77,jcg_heights_table
jcg0646,,140.0167,35.0333,0.87,0.9,,jcg_heights_table
jcg0647,,139.0667,35.05,0.89,0.92,,jcg_heights_table
jcg0648,,139.0833,35.05,0.89,0.92,,jcg_heights_table
jcg0649,,138.8556,35.0819,0.97,1.0,39.63,jcg_heights_table
jcg0650,,139.0773,35.0894,0.91,0.94,39.15,jcg_heights_table
jcg0651,,136.8819,35.0919,1.37,1.4,36.67,jcg_heights_table
jcg0652,,132.35,35.1,0.22,0.25,33.79,jcg_heights_table
jcg0653,,139.8333,35.1,0.97,1.0,,jcg_heights_table
jcg0654,,140.1,35.1,0.9,0.93,,jcg_heights_table
jcg0655,,139.8258,35.1094,0.97,1.0,35.05,jcg_heights_table
jcg0656,,140.2,35.1167,0.87,0.9,,jcg_heights_table
jcg0657,,139.6167,35.1333,0.97,1.0,,jcg_heights_table
jcg0658,,138.6981,35.1417,0.94,0.97,39.65,jcg_heights_table
jcg0659,,139.15,35.15,0.94,0.97,,jcg_heights_table
jcg0660,,139.6167,35.15,0.9,0.93,,jcg_heights_table
jcg0661,,139.6833,35.15,0.97,1.0,,jcg_heights_table
jcg0662,,140.3167,35.15,0.87,0.9,32.1,jcg_heights_table
jcg0663,油壷,139.6167,35.1667,0.9,0.93,,jcg_heights_table
jcg0664,,139.6833,35.2,0.97,1.0,,jcg_heights_table
jcg0665,,139.7211,35.2275,0.97,1.0,35.23,jcg_heights_table
jcg0666,,139.15,35.2333,0.92,0.95,,jcg_heights_table
jcg0667,,139.7167,35.2333,0.97,1.0,,jcg_heights_table
jcg0668,,140.4,35.25,0.87,0.9,,jcg_heights_table
jcg0669,,132.5819,35.2656,0.17,0.2,,jcg_heights_table
jcg0670,走水,139.7333,35.2667,1.07,1.1,,jcg_heights_table
jcg0671,,132.5828,35.2722,0.17,0.2,34.16,jcg_heights_table
jcg0672,,139.5667,35.2833,0.92,0.95,,jcg_heights_table
jcg0673,,139.6667,35.2833,1.07,1.1,,jcg_heights_table
jcg0674,,139.6501,35.2879,1.07,1.1,35.34,jcg_heights_table
jcg0675,,139.3167,35.3,0.92,0.95,,jcg_heights_table
jcg0676,,139.4844,35.3014,0.89,0.92,36.29,jcg_heights_table
jcg0677,長浦,139.65,35.3167,1.07,1.1,,jcg_heights_table
jcg0678,,139.7667,35.3167,1.07,1.1,,jcg_heights_table
jcg0679,君津,139.8667,35.35,1.12,1.15,34.2,jcg_heights_table
jcg0680,,132.6639,35.4036,0.19,0.22,34.14,jcg_heights_table
jcg0681,米子,133.3333,35.4167,0.16,0.19,,jcg_heights_table
jcg0682,根岸,139.6333,35.4167,1.07,1.1,35.39,jcg_heights_table
